;NUM_ACC;MOIS_ACC;HEU_ACC;COD_PRV;COD_ETA_CHA;COD_ETA_SUR;COD_LUM;COD_INT;TYP_LIE_ACC;NUM_ROU;PKM;LAR_CHA;COD_TYP_CHA;COD_TYP_COL;COD_OBS_HRT;COD_POI_CHO;COD_MAN;CIR_ACC
196;266;1;15;16;2;1;2;1;1;4201;9999;6;1;3;15;3;12;32
197;267;1;14;16;2;1;2;1;1;4201;9999;6;1;8;14;1;16;21
198;268;1;11;16;2;1;2;1;1;4214;9999;6;1;3;14;5;1;32
199;269;1;23;16;1;1;1;1;1;1;161;7;1;3;15;2;4;21
200;270;1;12;16;1;1;2;1;1;1;149;7;1;8;18;2;11;9
201;271;1;15;16;1;1;2;1;1;1;168;7;1;3;15;2;13;82
202;272;1;16;16;1;1;2;1;1;1;156;7;1;3;15;2;7;21
203;273;1;12;16;2;1;2;1;1;4214;9999;6;1;3;15;2;4;9
204;274;1;16;16;2;1;2;1;1;4214;9999;7;1;3;15;2;4;9
205;275;1;19;16;1;1;1;1;1;406;33;7;1;8;14;1;16;9
206;277;1;2;16;1;1;1;1;1;406;34;7;1;3;15;2;4;9
207;278;1;15;16;2;1;2;1;1;4214;9999;6;1;3;15;2;4;9
208;279;1;18;16;1;1;1;1;1;406;24;7;1;8;14;4;16;9
209;280;1;17;16;2;1;2;1;1;4208;9999;6;1;8;14;1;16;31
210;281;1;20;16;2;1;1;1;1;4220;9999;6;1;2;15;4;1;21
211;283;1;0;61;1;1;1;1;1;4240;7;6;1;8;13;9;11;48
212;284;1;0;17;1;1;1;1;1;413;72;5;1;8;18;9;1;82
213;285;1;0;61;1;1;1;1;1;4;23;7;1;7;14;8;16;3
214;286;1;13;61;2;1;2;1;1;4252;9999;6;1;7;14;8;16;9
215;287;1;21;17;1;1;1;1;1;4232;67;4;1;7;14;7;1;9
216;288;1;7;61;1;1;2;1;1;4;38;7;1;5;15;4;1;32
217;289;1;16;17;1;1;2;1;1;4240;26;4;1;8;18;9;1;48
218;290;1;20;17;1;1;1;1;1;4536;5;5;1;1;15;3;4;21
219;291;1;15;61;2;1;2;1;1;4236;9999;4;1;2;15;4;1;9
220;292;1;11;17;1;1;2;1;1;4528;9999;4;1;7;14;7;16;409
221;295;1;18;61;1;1;1;1;1;4240;8;6;1;3;15;8;4;9
222;296;1;16;17;1;1;2;1;1;4538;10;4;1;7;14;8;16;9
223;297;1;15;18;1;1;2;1;1;405;18;4;1;2;15;4;1;31
224;298;1;18;61;1;1;1;1;1;4240;14;4;1;7;14;7;1;400
225;299;1;14;17;1;1;2;1;1;4240;21;4;1;8;18;9;1;9
226;300;1;12;17;1;1;2;1;1;4240;23;4;1;2;15;4;1;21
227;302;1;12;17;1;1;2;1;1;4526;9;4;1;8;18;9;1;31
228;303;1;19;17;1;1;1;1;1;4;78;5;1;8;18;9;1;9
229;304;1;18;17;1;1;1;1;1;4;71;5;1;2;14;4;1;9
230;305;1;13;17;1;1;2;1;1;4;71;5;1;2;15;4;1;9
231;306;1;12;17;1;1;2;1;1;413;47;5;1;7;15;8;2;9
232;307;1;12;17;1;1;2;1;1;413;48;5;1;2;15;4;1;9
233;308;1;14;17;1;1;2;1;1;4549;17;5;1;1;18;1;1;9
236;311;1;14;17;1;1;2;1;1;413;26;10;1;3;14;1;16;38
237;312;1;8;17;1;1;2;1;1;4530;2;5;1;2;15;1;1;71
238;313;1;19;17;1;1;1;1;1;4536;7;5;1;7;14;3;16;31
239;314;1;18;17;1;1;1;1;1;4538;19;4;1;3;15;8;21;71
240;316;1;20;17;1;1;1;1;1;4541;0;4;1;7;14;7;1;21
241;317;1;5;61;1;1;1;1;1;4258;9999;4;1;8;18;9;1;9
242;321;1;12;17;1;1;2;1;1;4;98;5;1;3;15;8;2;31
243;322;1;20;17;1;1;1;1;1;13;183;5;1;8;18;9;1;38
244;323;1;20;17;1;1;1;1;1;4232;61;4;1;3;15;7;6;82
245;324;1;12;17;1;1;2;1;1;13;147;5;1;8;18;4;9;31
246;325;1;11;17;1;1;2;1;1;4528;14;4;1;8;18;9;1;38
247;326;1;22;17;1;1;1;1;1;4232;7;5;1;7;14;3;16;9
248;329;1;20;17;1;1;1;1;1;413;8;10;1;1;15;1;4;21
249;330;1;13;17;1;1;2;1;1;411;5;5;1;3;15;2;16;32
250;331;1;13;17;1;1;2;1;1;4234;25;4;1;7;14;7;16;21
251;332;1;20;17;1;1;1;1;1;4234;32;4;1;2;15;4;1;21
252;333;1;12;17;1;1;2;1;1;4234;30;4;1;3;15;8;1;21
253;334;1;8;17;1;1;2;1;1;4234;31;4;1;2;15;4;1;46
254;335;1;14;61;1;1;2;1;1;4;49;7;1;8;15;9;10;38
255;337;1;20;61;1;1;1;1;1;413;29;7;1;7;14;4;16;21
256;338;1;22;61;1;1;1;1;1;413;42;6;1;2;15;4;1;9
257;339;1;19;61;1;1;1;1;1;4240;4;6;1;7;14;8;16;21
258;340;1;15;61;1;1;2;1;1;4236;9999;4;1;7;14;4;16;3
259;341;1;18;17;1;1;1;1;1;4538;9999;4;1;2;15;4;1;439
260;342;1;9;61;2;1;2;1;1;4236;9999;4;1;3;15;8;4;9
261;343;1;1;61;2;1;1;1;1;4240;9999;7;1;3;15;8;4;81
262;344;1;22;61;1;1;1;1;1;409;25;7;1;3;15;6;4;38
263;345;1;15;61;1;1;2;1;1;4235;0;7;1;7;15;7;1;3
264;346;1;12;61;1;1;2;1;1;4235;1;7;1;4;14;1;16;3
265;349;1;11;17;1;1;2;1;1;408;11;5;1;7;14;7;1;9
266;350;1;12;61;1;1;2;1;1;4240;9999;4;1;7;18;9;1;32
267;351;1;21;17;1;1;1;1;1;4551;9999;4;1;7;14;7;1;3
268;352;1;1;61;1;1;1;1;1;4236;9999;4;1;8;18;9;1;21
269;353;1;15;17;1;1;2;1;1;4551;9999;4;1;4;15;4;1;9
270;354;1;21;61;1;1;1;1;1;4235;11;6;1;7;14;7;16;409
272;358;1;14;61;2;1;2;1;1;4252;9999;6;1;2;15;4;1;9
273;359;1;9;61;2;1;2;1;1;4252;9999;6;1;2;15;4;1;21
274;361;1;19;61;2;1;1;1;1;4252;9999;6;1;2;15;4;1;9
275;362;1;19;61;1;1;1;1;1;4;60;8;1;3;15;8;4;9
276;363;1;19;61;1;1;1;1;1;409;11;6;1;2;15;4;1;9
277;364;1;13;61;1;1;2;1;1;409;12;8;1;2;15;4;1;9
278;365;1;19;61;2;1;1;1;1;4235;9999;4;1;2;15;4;1;82
279;366;1;16;23;1;1;2;1;1;7040;5;7;1;3;15;8;6;9
280;367;1;20;23;1;1;1;1;1;802;153;10;2;8;18;9;10;82
281;368;1;21;23;1;1;1;1;1;413;85;8;1;8;18;9;10;9
282;369;1;7;23;1;1;2;1;1;413;93;8;1;1;15;1;4;32
287;374;1;15;23;1;1;2;1;1;13;239;8;2;8;14;1;16;32
288;375;1;21;23;1;1;1;1;1;4;135;8;1;1;15;8;4;341
