NUM_ACC,MOIS_ACC,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,TYP_LIE_ACC,NUM_ROU,PKM,LAR_CHA,COD_TYP_CHA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN,CIR_ACC
4242,2.0,9,48,1,1,2,1,1,803.0,273.9,7.0,2.0,8.0,3,3.0,1.0,9
4243,2.0,16,48,1,1,2,1,1,803.0,275.6,7.0,2.0,3.0,15,6.0,1.0,42
4244,2.0,12,48,1,1,2,1,1,2003.0,9999.99,3.0,1.0,1.0,15,1.0,4.0,32
4246,2.0,15,48,1,1,2,1,1,207.0,71.2,12.0,2.0,3.0,15,2.0,4.0,9
4247,2.0,20,48,1,1,1,1,1,207.0,69.9,12.0,2.0,8.0,14,1.0,16.0,59
4248,2.0,14,48,1,1,2,1,1,207.0,79.0,12.0,2.0,3.0,15,2.0,1.0,31
4249,2.0,17,48,1,1,2,1,1,212.0,70.2,6.0,1.0,7.0,15,1.0,6.0,9
4250,2.0,20,48,1,1,1,1,1,212.0,68.0,8.0,1.0,2.0,15,5.0,1.0,9
4251,2.0,21,48,1,1,1,1,1,212.0,71.3,6.0,1.0,2.0,15,1.0,1.0,38
4252,2.0,19,48,1,1,1,1,1,212.0,59.2,6.0,1.0,2.0,15,2.0,1.0,21
4253,2.0,16,48,1,1,2,1,1,8.0,134.0,8.0,1.0,3.0,15,8.0,1.0,3
4254,2.0,12,48,1,1,2,1,1,8.0,204.0,8.0,1.0,7.0,15,2.0,7.0,82
4255,2.0,20,48,1,1,1,1,1,8.0,204.0,8.0,1.0,1.0,15,2.0,4.0,9
4256,2.0,6,48,1,1,1,1,1,8.0,201.0,8.0,1.0,8.0,14,1.0,16.0,9
4257,2.0,19,48,1,1,1,1,1,8.0,206.0,8.0,1.0,8.0,18,9.0,11.0,9
4258,2.0,19,48,1,1,1,1,1,8.0,156.0,8.0,2.0,7.0,15,8.0,4.0,38
