Victimes,COD_ETA_CHA,COD_TYP_CHA,COD_TYP_COL,COD_MAN,AGE_CON,TMJA_en_veh_j,POS_ACO_DRO,POS_ACO_GAU,SIG_HOR,SIG_VER,COD_USA_VEH,COD_FAU_NON_CON,age_veh,route_class,Type_veh,Predicted_CLASSE_ISR
33,1,1,3,14,30,2873,1,1,1,2,0,9,4,2,3,1
55,1,1,3,9,32,31765,1,1,1,1,0,9,16,3,3,2
11,1,1,8,16,28,5066,1,1,1,1,0,9,1,1,1,1
101,1,1,2,1,43,3594,1,1,1,1,0,9,4,1,3,1
4,1,1,3,1,23,4735,1,1,1,1,0,9,9,1,1,3
12,1,1,3,12,34,27723,1,1,1,1,0,9,13,1,1,2
10,1,1,8,11,50,564,1,1,1,1,0,9,8,3,1,4
10,1,1,7,2,35,4855,1,1,1,1,0,9,19,1,3,3
10,1,1,3,4,45,4390,1,1,1,1,0,9,8,1,3,4
13,1,1,8,14,32,6143,1,1,1,1,9,9,13,1,5,4
15,1,1,8,16,35,4383,1,1,1,1,9,9,25,1,3,3
6,2,1,3,4,33,3350,1,1,2,2,0,9,10,2,3,4
255,1,2,3,1,43,12248,1,1,2,1,0,9,7,1,0,1
138,1,1,3,12,28,7195,1,1,1,1,0,9,27,1,3,1
13,1,1,8,10,59,4443,1,1,1,1,0,9,36,3,3,4
15,1,1,7,1,67,4929,1,1,1,1,4,9,0,1,3,3
128,1,1,3,1,27,2960,1,1,1,1,0,9,1,1,1,1
17,1,1,1,4,29,6086,1,1,1,1,4,9,27,1,3,1
3,1,1,8,1,21,1607,1,1,1,1,0,9,26,1,3,4
7,1,1,2,1,26,2886,1,1,1,1,2,9,8,1,4,3
15,1,1,8,18,21,8846,1,1,1,1,4,9,35,1,3,2
69,1,1,7,4,40,5924,1,1,1,1,1,9,6,1,3,1
159,1,1,8,16,76,2598,1,1,2,2,0,9,29,1,3,1
48,1,1,8,1,56,3765,1,1,1,1,0,9,17,1,3,1
4,1,1,2,1,47,695,1,1,2,2,0,9,14,2,0,4
12,1,1,3,14,62,4873,1,1,1,1,0,9,31,1,3,1
120,1,1,2,1,20,9019,1,1,2,2,0,9,1,3,1,1
17,1,1,8,1,24,3230,1,1,1,1,0,9,8,2,1,3
12,1,1,8,18,25,5933,1,1,1,1,0,9,7,3,1,3
59,1,1,8,11,62,3685,1,1,1,1,4,9,11,1,3,1
9,1,1,1,4,62,4937,1,1,1,1,0,9,35,1,3,4
64,1,1,3,12,35,4152,1,1,1,1,4,9,2,2,3,1
98,1,1,3,12,41,4917,1,1,2,2,0,9,18,3,3,1
20,1,1,4,1,27,2960,1,1,1,1,0,9,3,1,3,1
75,1,1,3,4,50,1491,1,1,1,1,0,9,5,3,1,1
215,1,2,2,1,25,15818,1,1,1,1,1,9,7,1,3,1
29,1,1,1,4,32,66146,1,1,1,1,9,9,10,1,3,1
105,1,1,2,1,28,2620,1,1,1,1,0,9,26,1,3,1
3,1,1,1,2,53,341,1,1,2,2,0,9,4,3,1,4
119,1,1,8,1,29,5855,1,1,1,1,2,9,1,2,4,1
39,1,1,3,11,45,6922,1,1,1,1,0,9,1,1,3,1
101,1,1,4,1,30,3594,1,1,1,1,4,9,0,1,3,1
16,1,1,8,1,67,2930,1,1,1,1,9,9,10,1,3,4
5,1,1,8,1,54,580,1,1,1,1,4,9,1,3,3,4
39,1,2,7,1,39,10399,1,1,1,1,1,9,4,3,3,1
5,1,2,8,11,53,10399,1,1,2,1,4,9,10,3,3,2
95,1,1,8,16,31,4236,1,1,1,1,0,9,27,3,3,1
10,1,1,8,11,27,5952,1,1,1,1,4,9,0,1,1,4
231,1,1,2,1,62,9827,1,1,1,1,0,9,9,1,3,1
14,1,1,2,1,32,2523,1,1,1,1,4,9,28,1,3,3
93,1,1,8,11,30,11361,1,1,1,2,0,9,1,1,1,1
4,1,1,3,9,55,1931,1,1,2,2,0,9,14,3,3,4
15,1,1,2,18,62,3377,1,1,1,1,0,9,10,3,1,1
114,1,2,3,12,44,15519,1,1,1,1,0,9,2,1,1,1
163,1,1,2,1,38,12248,1,1,2,2,0,9,1,1,3,1
30,1,1,8,11,31,4551,1,1,1,1,4,9,1,1,3,1
3,1,1,1,2,30,341,1,1,2,2,0,9,4,3,1,4
33,1,1,3,4,36,16025,1,1,1,1,1,9,2,1,3,1
90,1,1,2,1,59,4758,1,1,1,1,0,9,8,3,5,1
1,1,1,8,11,23,5042,1,1,1,1,4,9,1,3,3,4
9,1,1,3,1,21,3137,1,1,1,1,0,9,1,1,1,4
2,1,1,8,1,32,1312,1,1,1,1,0,9,3,2,1,4
2,1,1,1,2,61,4443,1,1,1,1,0,9,5,3,3,4
57,1,1,7,6,61,5222,1,1,1,1,0,9,18,3,3,1
24,2,1,3,1,64,7361,1,1,1,1,1,9,6,1,3,1
33,1,1,7,16,54,3377,1,1,1,1,0,9,31,3,3,3
55,1,1,3,19,23,1491,1,1,1,1,0,9,1,3,1,1
12,1,1,7,1,65,2972,1,1,1,1,0,9,5,1,1,4
